номер,город,население
1,Винница,121854
2,Могилев-Подольский,21208
3,Бар,8704
4,Гайсин,17680
5,Жмеринка,29368
6,Казатин,22784
7,Тульчин,12492
8,Хмельник,13288
9,Луцк,55663
10,Ковель,24666
11,Нововолынск,23895
12,Владимир-Волынский,20928
13,Устилуг,3866
14,Горохов,4419
15,Берестечко,2154
16,Камень-Каширский,5479
17,Киверцы,9383
18,Любомль,5639
19,Днепропетровск,661547
20,Игрень,18203
21,Приднепровское,9094
22,Днепродзержинск,194188
23,Желтые Воды,32406
24,Терны,13213
25,Кривой Рог,387579
26,Марганец,34422
27,Никополь,82992
28,Ново-Московск,44243
29,Павлоград,45827
30,Апостолово,12397
31,Верхне-Днепровск,9124
32,Верховцево,15975
33,Орджоникидзе,17523
34,Пятихатки,21359
35,Синельниково,28026
36,Ингулец,12336
37,Житомир,105583
38,Бердичев,53206
39,Коростень,38041
40,Новоград-Волынский,27580
41,Коростышев,16960
42,Малин,11095
43,Овруч,11536
44,Радомышль,11427
45,Ужгород,47396
46,Мукачево,46423
47,Берегово,25730
48,Виноградов,15910
49,Рахов,10849
50,Свалява,9383
51,Чоп,4985
52,Хуст,20902
53,Запорожье,434638
54,Бердянск,65249
55,Мелитополь,94670
56,Большой Токмак,28575
57,Молочанск,10771
58,Васильевка,11009
59,Гуляй-Поле,17220
60,Каменка Днепровская,13841
61,Орехов,12945
62,Пологи,16490
63,Киев,1104334
64,Белая Церковь,70633
65,Богуслав,9455
66,Борисполь,17180
67,Бровары,17824
68,Васильков,20450
69,Боярка,19465
70,Ирпень,18186
71,Переяслав-Хмельницкий,14361
72,Сквира,12781
73,Тараща,9608
74,Фастов,30240
75,Чернобыль,8221
76,Яготин,13950
77,Кировоград,128207
78,Александрия,35190
79,Знаменка,22297
80,Бобринец,13056
81,Гайворон,13119
82,Долинская,14156
83,Малая Виска,11362
84,Ново-Георгиевск,9343
85,Ново-Украинка,16921
86,Помошная,11708
87,Севастополь,148033
88,Симферополь,187623
89,Евпатория,56992
90,Керчь,98769
91,Феодосия,46327
92,Ялта,43994
93,Алупка,8920
94,Алушта,13193
95,Бахчисарай,10852
96,Белогорск,8991
97,Джанкой,28457
98,Старый Крым,7374
99,Саки,18122
100,Луганск,274520
101,Ворошиловск,97561
102,Парижская Коммуна,32385
103,Кадиевка,180205
104,Ирмино,21512
105,Красный Луч,93764
106,Лисичанск (без Верхнее),37878
107,Верхнее,40163
108,Пролетарск,26095
109,Северодонецк,33180
110,Рубежное,35122
111,Боково-Антрацит,24462
