номер,город,население
112,Краснодон,37952
113,Кременная,25938
114,Попасная ( рц),31027
115,Горское,17932
116,Золотое,27592
117,Первомайск,43671
118,Ровеньки,32037
119,Сватово,21455
120,Свердловск,62155
121,Старобельск,19519
122,Львов,410678
123,Винники,7194
124,Борислав,28603
125,Дрогобыч,42145
126,Золочев,10513
127,Самбор,23649
128,Стрый,36180
129,Трускавец,8482
130,Бобрка,3086
131,Броды,10243
132,Буск,5188
133,Городок,9999
134,Добромиль,4998
135,Хыров,3049
136,Жидачов,8533
137,Белз,2221
138,Великие Мосты,3789
139,Угнев,1572
140,Червоноград,12241
141,Каменка-Бугская,7950
142,Мостиска,4295
143,Судовая Вишня,4675
144,Нестеров,7731
145,Николаев,6863
146,Перемышляны,3645
147,Рава-Русская,6544
148,Радехов,4791
149,Рудки,2529
150,Комарно,3171
151,Сколе,4925
152,Сокаль,9352
153,Старый Самбор,3629
154,Турка,5661
155,Ходоров,8991
156,Яворов,7486
157,Николаев,226207
158,Первомайск,44330
159,Вознесенск,31043
160,Очаков,8473
161,Одесса,667182
162,Белгород- Днестровский,21832
163,Измаил,48103
164,Ананьев,7978
165,Балта,17922
166,Болград,14053
167,Килия,20304
168,Вилково,8767
169,Котовск,27383
170,Раздельная,9572
171,Рени,14778
172,Полтава,143097
173,Кременчуг,86569
174,Гадяч,11725
175,Гребенка,10650
176,Зеньков,8366
177,Карловка,14488
178,Кобеляки,9568
179,Лохвица,8946
180,Лубны,29442
181,Миргород,24646
182,Пирятин,15203
183,Хорол,12357
184,Ровно,59598
185,Дубно,18651
186,Дубровица,6028
187,Здолбунов,14964
188,Корец,5311
189,Костополь,11762
190,Острог,8409
191,Сарны,10174
192,Червоноармейск,4205
193,Сталино,704821
194,Моспино,18002
195,Артемовск,60626
196,Часов Яр,23330
197,Горловка,292616
198,Дебальцево,33847
199,Дружковка,43124
200,Енакиево,92306
201,Жданов,283570
202,Константиновка,88723
203,Краматорск,115385
204,Макеевка,357575
205,Славянск,82784
206,Чистяково,91549
207,Авдеевка,18206
208,Ясиноватая,31673
209,Амвросиевка,20037
210,Волноваха,20199
211,Докучаевск,16847
212,Дзержинск,44835
213,им. Артема,11201
214,Доброполье,23666
215,Углегорск,13489
216,Красноармейское,47974
217,Ново-Экономическое,36020
218,Красный Лиман,28911
219,Красногоровка,17553
220,Селидово,12949
221,Горняк,14216
222,Курахово,10799
223,Ново-Гродовка,14296
224,Снежное,25674
225,Новый Донбасс,16250
226,Комсомольское,15428
227,Харцызск,33641
228,Зугрэс,13433
229,Иловайск,21947
230,Кировское,16314
231,Шахтерск,37687
232,Станислав,66456
233,Коломыя,31303
234,Болехов,8452
235,Галич,4024
236,Городенка,7327
237,Долина,6535
238,Калуш,12873
239,Косов,6000
240,Надворная,8751
241,Рогатин,4055
242,Снятын,6174
243,Тлумач,4303
244,Сумы,98015
245,Конотоп,54097
246,Шостка,38884
247,Ахтырка,32031
248,Белополье,17256
249,Ворожба,10826
250,Глухов,22962
251,Кролевец,13996
252,Лебедин,24741
253,Путивль,8993
254,Ромны,40027
255,Тростянец,17992
256,Тернополь,52245
257,Бережаны,11199
258,Борщев,5023
259,Бучач,7043
260,Залещики,6219
261,Збараж,6516
262,Зборов,3169
263,Копычинцы,2795
264,Кременец,16438
265,Монастыриска,4220
266,Подгайцы,3033
267,Скалат,3763
268,Теребовля,6319
269,Чортков,15294
270,Харьков,934136
271,Изюм,37595
272,Купянск,25644
273,Балаклея,21325
274,Барвенково,13476
275,Богодухов,17754
276,Валки,6881
277,Волчанск,20592
278,Змиев,11388
279,Красноград,15419
280,Лозовая,28730
281,Люботин,31540
282,Мерефа,26307
283,Чугуев,22657
284,Херсон,157995
285,Новая Каховка,19885
286,Берислав,10507
287,Геническ,14420
288,Голая Пристань,10772
289,Каховка,18628
290,Цюрупинск,11689
291,Хмельницкий,62473
292,Каменец-Подольский,40299
293,Городок,8500
294,Дунаевцы,8562
295,Изяслав,11587
296,Полонное,19775
297,Славута,20216
298,Старо-Константинов,19909
299,Шепетовка,31898
300,Черкассы,84822
301,Смела,44534
302,Умань,44546
303,Городище,16089
304,Жашков,11274
305,Звенигородка,17154
306,Ватутино,11946
307,Золотоноша,24603
308,Каменка,11619
309,Канев,7461
310,Корсунь-Шевченковский,11517
311,Тальное,12948
312,Христиновка,8545
313,Чигирин,8612
314,Шпола,16130
315,Чернигов,89585
316,Нежин,46211
317,Прилуки,43719
318,Бахмач,13066
319,Бобровица,9383
320,Городня,8842
321,Ичня,13131
322,Корюковка,9625
323,Новгород-Северский,11249
324,Семеновка,10287
325,Щорс,9109
326,Черновцы,141940
327,Вашковцы,6205
328,Вижница,3768
329,Герца,1407
330,Заставна,5555
331,Кицмань,6765
332,Новоселица,5764
333,Садгора,12450
334,Сторожинец,8425
335,Хотин,10319
